№,Секунда ,Микросекунда
1,38,245437
2,38,268444
3,38,283906
4,38,299509
5,38,314532
6,38,330566
7,38,346560
8,38,362559
9,38,377744
10,38,392966
11,38,408260
12,38,423929
13,38,438933
14,38,454935
15,38,470575
16,38,486592
17,38,502060
18,38,517729
19,38,533073
20,38,548453
21,38,563469
22,38,579479
23,38,594483
24,38,610480
25,38,626490
26,38,642474
27,38,658477
28,38,674481
29,38,690485
30,38,706488
31,38,721734
32,38,736737
33,38,752346
34,38,768355
35,38,784474
36,38,800477
37,38,815765
38,38,831535
39,38,846612
40,38,861852
41,38,877603
42,38,893421
43,38,908939
44,38,924272
45,38,939289
46,38,955295
47,38,970792
48,38,985987
49,39,1586
50,39,17469
51,39,32884
52,39,48918
53,39,64803
54,39,80306
55,39,95596
56,39,110789
57,39,126084
58,39,141542
59,39,157315
60,39,172263
61,39,187286
62,39,203257
63,39,218258
64,39,234262
65,39,250338
66,39,266341
67,39,282063
68,39,297252
69,39,313252
70,39,328253
71,39,344256
72,39,359489
73,39,374244
74,39,389246
75,39,404278
76,39,420282
77,39,436236
78,39,452260
79,39,468161
80,39,483983
81,39,499775
82,39,515257
83,39,530772
84,39,546548
85,39,561830
86,39,577251
87,39,593310
88,39,608266
89,39,623271
90,39,639278
91,39,655251
92,39,670314
93,39,685283
94,39,700358
95,39,716390
96,39,731592
97,39,747280
98,39,763322
99,39,779270
100,39,795329
101,39,810780
102,39,826251
103,39,842205
104,39,858301
105,39,873932
106,39,889135
107,39,905018
108,39,920638
109,39,936125
110,39,951085
111,39,966135
112,39,982462
113,39,997685
114,40,13021
115,40,28604
116,40,44214
117,40,59832
118,40,75104
119,40,90545
120,40,106007
121,40,121211
122,40,137008
123,40,152856
124,40,168254
125,40,183251
126,40,198255
127,40,214252
128,40,229251
129,40,244253
130,40,260258
131,40,275258
132,40,291250
133,40,307288
134,40,322825
135,40,338253
136,40,353729
137,40,369252
138,40,385255
139,40,402263
140,40,417262
141,40,433272
142,40,448721
143,40,464255
144,40,480258
145,40,496265
146,40,512265
147,40,527616
148,40,543272
149,40,558303
150,40,574327
151,40,590380
152,40,605973
153,40,621372
154,40,636605
155,40,651764
156,40,666992
157,40,682662
158,40,698487
159,40,714473
160,40,730438
161,40,746467
162,40,761965
163,40,777710
164,40,793274
165,40,808304
166,40,824253
167,40,839334
168,40,855376
169,40,871430
170,40,887465
171,40,902555
172,40,918247
173,40,933931
174,40,949543
175,40,965336
176,40,981581
177,40,997616
178,41,13434
179,41,28673
180,41,44176
181,41,59780
182,41,75828
183,41,91241
184,41,106828
185,41,122070
186,41,137557
187,41,153625
188,41,169501
189,41,185504
190,41,201437
191,41,216812
192,41,233053
193,41,248273
194,41,263912
195,41,279161
196,41,294422
197,41,310434
198,41,325982
199,41,341274
200,41,356318
201,41,371901
202,41,387240
203,41,402261
204,41,418251
205,41,434251
206,41,450255
207,41,466266
208,41,482382
209,41,498252
210,41,513304
211,41,529296
212,41,544938
213,41,560927
214,41,576639
215,41,592643
216,41,608647
217,41,624650
218,41,640654
219,41,656658
220,41,672661
221,41,688665
222,41,703668
223,41,718671
224,41,734676
225,41,750679
226,41,766682
227,41,782686
228,41,797689
229,41,813693
230,41,828696
231,41,844700
232,41,860703
233,41,876765
234,41,892635
235,41,907840
236,41,923562
237,41,939512
238,41,955250
239,41,970244
240,41,985268
241,42,1380
242,42,17395
243,42,32825
244,42,49058
245,42,65255
246,42,80290
247,42,95922
248,42,111361
249,42,126561
250,42,142808
251,42,158269
252,42,174147
253,42,190074
254,42,205480
255,42,221121
256,42,236439
257,42,251462
258,42,267522
259,42,283124
260,42,298377
261,42,314572
262,42,330418
263,42,346145
264,42,361651
265,42,377702
266,42,393764
267,42,408748
268,42,423750
269,42,439173
270,42,454431
271,42,470647
272,42,486665
273,42,501899
274,42,517751
275,42,533177
276,42,548853
277,42,563649
278,42,578898
279,42,594127
280,42,609545
281,42,625209
282,42,640539
283,42,656422
284,42,672015
285,42,687787
286,42,703671
287,42,719506
288,42,735267
289,42,750242
290,42,766247
291,42,782307
292,42,797695
293,42,813181
294,42,828303
295,42,844173
296,42,860413
297,42,875858
298,42,891198
299,42,906508
300,42,921642
